ID,Time,Date,Latitude,Longitude
TMC28,14:00:00,10/8/2016,-34.348753,18.47413
TMC28,17:00:00,10/8/2016,-34.348907,18.474505
TMC28,20:00:00,10/8/2016,-34.354557,18.491295
TMC28,23:00:00,10/9/2016,-34.348987,18.474385
TMC28,2:00:00,10/9/2016,-34.348822,18.47443
TMC28,5:00:00,10/9/2016,-34.348322,18.47557
TMC28,8:00:00,10/9/2016,-34.34412,18.474668
TMC28,17:00:00,10/9/2016,-34.348853,18.473672
TMC28,20:00:00,10/9/2016,-34.355952,18.475927
TMC28,2:00:00,10/10/2016,-34.348637,18.473642
TMC28,8:00:00,10/10/2016,-34.348652,18.473498
TMC28,14:00:00,10/10/2016,-34.348683,18.473605
TMC28,17:00:00,10/10/2016,-34.348725,18.473517
TMC28,2:00:00,10/11/2016,-34.351417,18.472787
TMC28,5:00:00,10/11/2016,-34.348657,18.47361
TMC28,11:00:00,10/11/2016,-34.34865,18.473527
TMC28,14:00:00,10/11/2016,-34.348507,18.47376
TMC28,17:00:00,10/11/2016,-34.349033,18.473203
TMC28,23:00:00,10/12/2016,-34.348732,18.473568
TMC28,2:00:00,10/12/2016,-34.358317,18.481023
TMC28,5:00:00,10/12/2016,-34.350505,18.472108
TMC28,8:00:00,10/12/2016,-34.348883,18.47361
TMC28,11:00:00,10/12/2016,-34.348833,18.47379
TMC28,14:00:00,10/12/2016,-34.348608,18.47339
TMC28,17:00:00,10/12/2016,-34.348448,18.473407
TMC28,23:00:00,10/13/2016,-34.346137,18.473433
TMC28,5:00:00,10/13/2016,-34.348568,18.474277
TMC28,8:00:00,10/13/2016,-34.348692,18.473545
TMC28,11:00:00,10/13/2016,-34.348513,18.473528
TMC28,14:00:00,10/13/2016,-34.348768,18.474078
TMC28,17:00:00,10/13/2016,-34.347297,18.469102
TMC28,20:00:00,10/13/2016,-34.344107,18.464587
TMC28,23:00:00,10/14/2016,-34.356763,18.47672
TMC28,2:00:00,10/14/2016,-34.34372,18.464887
TMC28,8:00:00,10/14/2016,-34.345815,18.465718
TMC28,11:00:00,10/14/2016,-34.346192,18.465842
TMC28,14:00:00,10/14/2016,-34.345823,18.465835
TMC28,17:00:00,10/14/2016,-34.345948,18.46589
TMC28,20:00:00,10/14/2016,-34.34571,18.465778
TMC28,23:00:00,10/15/2016,-34.345885,18.465667
TMC28,2:00:00,10/15/2016,-34.34683,18.465373
TMC28,8:00:00,10/15/2016,-34.34583,18.465557
TMC28,14:00:00,10/15/2016,-34.345612,18.46561
TMC28,17:00:00,10/15/2016,-34.356625,18.473817
TMC28,20:00:00,10/15/2016,-34.345748,18.465598
TMC28,23:00:00,10/16/2016,-34.345702,18.465638
TMC28,5:00:00,10/16/2016,-34.346045,18.465602
TMC28,8:00:00,10/16/2016,-34.345558,18.465452
TMC28,11:00:00,10/16/2016,-34.34595,18.465073
TMC28,14:00:00,10/16/2016,-34.345443,18.465203
TMC28,17:00:00,10/16/2016,-34.345622,18.464773
TMC28,20:00:00,10/16/2016,-34.356752,18.477962
TMC28,23:00:00,10/17/2016,-34.3457,18.465465
TMC28,2:00:00,10/17/2016,-34.345467,18.465272
TMC28,5:00:00,10/17/2016,-34.345615,18.465433
TMC28,8:00:00,10/17/2016,-34.345672,18.464968
TMC28,11:00:00,10/17/2016,-34.34537,18.465602
TMC28,14:00:00,10/17/2016,-34.345277,18.465372
TMC28,17:00:00,10/17/2016,-34.3455,18.465187
TMC28,20:00:00,10/17/2016,-34.34908,18.467305
TMC28,23:00:00,10/18/2016,-34.345765,18.465355
TMC28,2:00:00,10/18/2016,-34.345428,18.46527
TMC28,5:00:00,10/18/2016,-34.345777,18.4655
TMC28,8:00:00,10/18/2016,-34.34563,18.465243
TMC28,11:00:00,10/18/2016,-34.345353,18.46583
TMC28,14:00:00,10/18/2016,-34.345703,18.464855
TMC28,17:00:00,10/18/2016,-34.345573,18.46499
TMC28,20:00:00,10/18/2016,-34.34748,18.464668
TMC28,23:00:00,10/19/2016,-34.345445,18.465205
TMC28,2:00:00,10/19/2016,-34.346022,18.465332
TMC28,5:00:00,10/19/2016,-34.3455,18.465212
TMC28,8:00:00,10/19/2016,-34.345755,18.46563
TMC28,11:00:00,10/19/2016,-34.345448,18.465215
TMC28,14:00:00,10/19/2016,-34.345527,18.465205
TMC28,17:00:00,10/19/2016,-34.346108,18.465095
TMC28,20:00:00,10/19/2016,-34.345353,18.465213
TMC28,23:00:00,10/20/2016,-34.350155,18.468353
TMC28,2:00:00,10/20/2016,-34.345537,18.465143
TMC28,5:00:00,10/20/2016,-34.345432,18.465217
TMC28,8:00:00,10/20/2016,-34.3455,18.465527
TMC28,11:00:00,10/20/2016,-34.345613,18.465492
TMC28,14:00:00,10/20/2016,-34.345568,18.465152
TMC28,17:00:00,10/20/2016,-34.345512,18.465192
TMC28,20:00:00,10/20/2016,-34.356483,18.476217
TMC28,23:00:00,10/21/2016,-34.345453,18.465253
TMC28,2:00:00,10/21/2016,-34.345438,18.465208
TMC28,5:00:00,10/21/2016,-34.345263,18.465257
TMC28,8:00:00,10/21/2016,-34.345545,18.46519
TMC28,11:00:00,10/21/2016,-34.345432,18.465227
TMC28,14:00:00,10/21/2016,-34.345487,18.465147
TMC28,17:00:00,10/21/2016,-34.345455,18.46531
TMC28,20:00:00,10/21/2016,-34.347598,18.467055
TMC28,23:00:00,10/22/2016,-34.345793,18.46523
TMC28,2:00:00,10/22/2016,-34.34547,18.465218
TMC28,5:00:00,10/22/2016,-34.345258,18.465213
TMC28,8:00:00,10/22/2016,-34.34574,18.465393
TMC28,11:00:00,10/22/2016,-34.345492,18.465875
TMC28,14:00:00,10/22/2016,-34.345462,18.465452
TMC28,17:00:00,10/22/2016,-34.3454,18.465128
TMC28,20:00:00,10/22/2016,-34.345407,18.465075
TMC28,23:00:00,10/23/2016,-34.351577,18.47062
TMC28,2:00:00,10/23/2016,-34.346312,18.465648
