ID	Cluster	trip_start	trip_ID	max_dist	total_dist	total_hours
TMC28	2	2016-10-07T20:00:00Z	TMC28_Den2_Trip4	928.048659752923	1817.34041027685	6
TMC28	2	2016-10-08T20:00:00Z	TMC28_Den2_Trip5	1731.41236303705	3397.74137947949	6
TMC28	2	2016-10-09T05:00:00Z	TMC28_Den2_Trip6	518.785803272066	1160.17104925372	9
TMC27	1	2016-10-09T11:00:00Z	TMC27_Den1_Trip20	327.813754731108	1286.81273452722	18
TMC28	2	2016-10-09T20:00:00Z	TMC28_Den2_Trip7	826.92071779376	1643.90025968012	6
TMC27	1	2016-10-10T08:00:00Z	TMC27_Den1_Trip21	3637.73429907213	7958.55568950327	33
TMC28	2	2016-10-11T02:00:00Z	TMC28_Den2_Trip8	314.21699425503	621.307536083435	6
TMC28	2	2016-10-12T02:00:00Z	TMC28_Den2_Trip9	1255.58257243577	2703.5685104012	9
TMC27	1	2016-10-12T14:00:00Z	TMC27_Den1_Trip22	864.107311394611	2417.64236524408	12
TMC27	1	2016-10-13T05:00:00Z	TMC27_Den1_Trip23	125.698046361798	305.053055639781	6
TMC27	1	2016-10-13T11:00:00Z	TMC27_Den1_Trip24	2155.45770563837	4927.99138482161	36
TMC28	3	2016-10-14T23:00:00Z	TMC28_Den3_Trip1	1631.81296176722	3293.63623399134	9
TMC27	1	2016-10-15T11:00:00Z	TMC27_Den1_Trip25	256.635058955986	1156.5449995698	12
TMC28	3	2016-10-15T17:00:00Z	TMC28_Den3_Trip2	1460.99131208221	2900.39896422626	6
TMC27	1	2016-10-16T08:00:00Z	TMC27_Den1_Trip26	3666.73834558194	11248.7846833975	66
TMC28	3	2016-10-16T20:00:00Z	TMC28_Den3_Trip3	1706.74577598192	3440.0518295518	6
TMC28	3	2016-10-17T20:00:00Z	TMC28_Den3_Trip4	434.315579262953	877.841242840121	6
TMC28	3	2016-10-18T20:00:00Z	TMC28_Den3_Trip5	221.040612274897	435.379882418677	6
TMC27	1	2016-10-19T17:00:00Z	TMC27_Den1_Trip27	242.657569395708	496.234884598835	9
TMC28	3	2016-10-20T20:00:00Z	TMC28_Den3_Trip6	1578.25612496954	3172.34446646267	9
TMC27	1	2016-10-20T23:00:00Z	TMC27_Den1_Trip28	3633.23982842172	7852.85716148247	27
TMC28	3	2016-10-21T20:00:00Z	TMC28_Den3_Trip7	280.045976207344	567.504459469921	6
TMC27	1	2016-10-23T02:00:00Z	TMC27_Den1_Trip29	3606.00565937804	8834.39502691045	48
TMC28	3	2016-10-23T23:00:00Z	TMC28_Den3_Trip8	830.985439057282	1683.7781359416	6
TMC28	3	2016-10-24T23:00:00Z	TMC28_Den3_Trip9	661.398344285686	1343.5416859425	6
TMC28	3	2016-10-25T08:00:00Z	TMC28_Den3_Trip10	205.437962488249	581.579357583004	9
